biz_date,gmv,order_count,item_qty,cost_total,discount_total,refund_count,gross_profit,aov
2026-04-27,610.5,32,37,243.0,13.5,3,367.5,19.08
2026-04-28,594.4,34,38,223.5,6.6,0,370.9,17.48
2026-04-29,820.9,45,53,326.0,32.1,1,494.9,18.24
2026-04-30,881.8,48,59,331.5,24.2,0,550.3,18.37
2026-05-01,810.9,50,53,311.0,17.1,0,499.9,16.22
2026-05-02,1018.5,58,67,401.5,45.5,1,617.0,17.56
2026-05-03,1004.1,56,64,387.0,16.9,0,617.1,17.93
2026-05-04,669.2,38,44,262.0,27.8,0,407.2,17.61
2026-05-05,561.0,32,37,214.5,17.0,0,346.5,17.53
2026-05-06,819.9,49,55,308.5,20.1,0,511.4,16.73
2026-05-07,956.9,50,59,374.5,16.1,0,582.4,19.14
2026-05-08,568.6,33,36,222.5,17.4,0,346.1,17.23
2026-05-09,1081.9,60,71,420.5,40.1,2,661.4,18.03
2026-05-10,1230.3,64,77,482.0,28.7,0,748.3,19.22
2026-05-11,883.8,48,57,339.5,18.2,1,544.3,18.41
2026-05-12,798.3,44,51,310.5,21.7,0,487.8,18.14
2026-05-13,749.9,43,47,292.5,18.1,0,457.4,17.44
2026-05-14,630.2,37,41,238.5,9.8,0,391.7,17.03
2026-05-15,940.7,49,60,360.5,13.3,1,580.2,19.2
2026-05-16,959.8,53,60,374.0,22.2,0,585.8,18.11
2026-05-17,1088.8,60,70,425.0,34.2,0,663.8,18.15
2026-05-18,543.8,34,37,202.5,13.2,0,341.3,15.99
2026-05-19,680.6,37,43,268.0,21.4,1,412.6,18.39
2026-05-20,821.6,49,52,319.0,16.4,0,502.6,16.77
2026-05-21,860.9,48,55,332.0,17.1,0,528.9,17.94
2026-05-22,803.9,46,52,314.0,27.1,0,489.9,17.48
2026-05-23,1248.4,64,81,482.0,34.6,2,766.4,19.51
2026-05-24,872.7,49,56,338.5,21.3,1,534.2,17.81
2026-05-25,617.2,31,39,243.5,16.8,1,373.7,19.91
2026-05-26,620.4,35,40,241.0,17.6,1,379.4,17.73
2026-05-27,777.0,41,49,305.5,23.0,0,471.5,18.95
2026-05-28,492.2,29,33,183.5,9.8,1,308.7,16.97
2026-05-29,511.7,30,33,196.5,10.3,2,315.2,17.06
2026-05-30,1060.8,57,66,416.0,18.2,0,644.8,18.61
2026-05-31,1086.3,61,68,426.5,24.7,1,659.8,17.81
2026-06-01,746.5,45,48,285.5,15.5,2,461.0,16.59
2026-06-02,876.1,48,54,352.5,28.9,1,523.6,18.25
2026-06-03,862.0,47,55,338.0,27.0,2,524.0,18.34
2026-06-04,514.9,32,34,195.5,11.1,1,319.4,16.09
2026-06-05,879.1,46,54,349.0,25.9,2,530.1,19.11
2026-06-06,931.0,52,60,362.0,27.0,0,569.0,17.9
2026-06-07,1029.4,57,66,397.5,22.6,0,631.9,18.06
2026-06-08,545.9,31,35,212.0,15.1,1,333.9,17.61
2026-06-09,705.0,42,46,270.5,19.0,2,434.5,16.79
2026-06-10,565.0,33,37,218.0,16.0,1,347.0,17.12
2026-06-11,631.9,35,40,244.0,12.1,0,387.9,18.05
2026-06-12,761.7,44,50,288.0,19.3,3,473.7,17.31
2026-06-13,958.9,49,60,377.0,25.1,1,581.9,19.57
2026-06-14,816.5,50,53,315.0,22.5,0,501.5,16.33
2026-06-15,652.1,39,44,253.5,28.9,0,398.6,16.72
2026-06-16,609.4,33,39,233.0,9.6,1,376.4,18.47
2026-06-17,801.8,48,51,317.0,25.2,1,484.8,16.7
2026-06-18,598.6,31,39,226.5,8.4,1,372.1,19.31
2026-06-19,578.0,32,38,219.0,11.0,1,359.0,18.06
2026-06-20,940.0,53,61,360.0,25.0,1,580.0,17.74
2026-06-21,973.5,58,65,371.0,29.5,2,602.5,16.78
2026-06-22,739.5,42,48,279.5,10.5,1,460.0,17.61
2026-06-23,818.2,47,52,318.0,15.8,3,500.2,17.41
2026-06-24,799.9,43,53,302.0,18.1,2,497.9,18.6
2026-06-25,557.1,30,35,213.5,7.9,1,343.6,18.57
2026-06-26,691.2,35,43,274.0,16.8,1,417.2,19.75
2026-06-27,1118.7,64,73,434.5,39.3,3,684.2,17.48
2026-06-28,900.3,46,56,363.5,32.7,3,536.8,19.57
2026-06-29,545.7,31,36,207.5,14.3,0,338.2,17.6
2026-06-30,782.2,43,49,308.0,17.8,1,474.2,18.19
