store_name,sku_name,category,unit_cost,unit_price,stock_qty,safety_stock,updated_at
星野茶·万达店,杨枝甘露,果茶,7.5,18,55,25,2026-07-25
星野茶·万达店,生椰拿铁,咖啡,6.0,16,12,35,2026-07-25
星野茶·万达店,多肉葡萄,果茶,8.0,19,91,30,2026-07-25
星野茶·万达店,伯牙绝弦,茶底,5.5,15,95,30,2026-07-25
星野茶·万达店,芋泥波波,奶茶,6.5,17,65,30,2026-07-25
星野茶·万达店,柠檬绿茶,果茶,3.5,12,68,30,2026-07-25
星野茶·万达店,奥利奥奶昔,奶茶,7.0,18,109,30,2026-07-25
星野茶·万达店,美式咖啡,咖啡,3.0,11,78,30,2026-07-25
星野茶·大学城店,杨枝甘露,果茶,7.5,18,114,30,2026-07-25
星野茶·大学城店,生椰拿铁,咖啡,6.0,16,56,30,2026-07-25
星野茶·大学城店,多肉葡萄,果茶,8.0,19,96,30,2026-07-25
星野茶·大学城店,伯牙绝弦,茶底,5.5,15,120,30,2026-07-25
星野茶·大学城店,芋泥波波,奶茶,6.5,17,107,30,2026-07-25
星野茶·大学城店,柠檬绿茶,果茶,3.5,12,55,30,2026-07-25
星野茶·大学城店,奥利奥奶昔,奶茶,7.0,18,120,30,2026-07-25
星野茶·大学城店,美式咖啡,咖啡,3.0,11,93,30,2026-07-25
星野茶·地铁口店,杨枝甘露,果茶,7.5,18,66,30,2026-07-25
星野茶·地铁口店,生椰拿铁,咖啡,6.0,16,99,30,2026-07-25
星野茶·地铁口店,多肉葡萄,果茶,8.0,19,46,30,2026-07-25
星野茶·地铁口店,伯牙绝弦,茶底,5.5,15,99,30,2026-07-25
星野茶·地铁口店,芋泥波波,奶茶,6.5,17,82,30,2026-07-25
星野茶·地铁口店,柠檬绿茶,果茶,3.5,12,114,30,2026-07-25
星野茶·地铁口店,奥利奥奶昔,奶茶,7.0,18,104,30,2026-07-25
星野茶·地铁口店,美式咖啡,咖啡,3.0,11,52,30,2026-07-25
